"Diện tích","Hướng ban công","Hướng nhà","Mặt tiền","Mức giá","Mức giá internet","Mức giá nước","Mức giá điện","Nội thất","Pháp lý","Số phòng ngủ","Số phòng tắm, vệ sinh","Số tầng","Thời gian dự kiến vào ở","Tiện ích","title","url","Đường vào"
"109 m²","","","","3,9 tỷ","","","","Không nội thất.","Hợp đồng mua bán.","2 phòng","2 phòng","","","","Bán chung cư Blooming Đà Nẵng, diện tích 109m2 giá 3,9 tỷ - Toàn Huy Hoàng","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xuan-dieu-phuong-thuan-phuoc-prj-blooming-tower-da-nang/ban-dien-tich-112m2-gia-3-ty-toan-huy-hoang-pr32119428",""
"46 m²","","","6 m","3,4 tỷ","","","","Nội thất cao cấp.","Sổ đỏ/ Sổ hồng","4 phòng","3 phòng","4 tầng","","","Bán nhà Lạch Tray - xe tải tận cổng 46m2, 4PN 3VS giá 3,4 tỷ","https://batdongsan.com.vn/ban-nha-rieng-pho-lach-tray-phuong-hang-kenh/ban-xe-tai-tan-cong-46m2-4pn-3vs-gia-3-4-ty-pr42412102","2 m"
"262 m²","Đông","Đông","14,5 m","122 triệu/m²","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","4 phòng","1 tầng","","","Bán thửa nhà đất rất đẹp 262m2 mặt đường Hoàng Minh Thảo, Hải Phòng - Giá cực đẹp","https://batdongsan.com.vn/ban-nha-mat-pho-duong-hoang-minh-thao-phuong-du-hang-kenh/ban-thua-dat-rat-dep-262m2-hai-phong-gia-cuc-dep-pr42084150","25 m"
"48 m²","","","","3,3 tỷ","","","","","","1 phòng","1 phòng","","","","3 tỉ sở hữu căn hộ trung trung tâm thành phố, view biển,pháo hoa,nội thất 5 sao, dòng tiền ổn định","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-thi-minh-khai-phuong-thach-thang-prj-center-point-da-nang/3-ti-so-huu-trung-trung-tam-thanh-p-view-bien-phao-a-noi-that-5-sao-dong-tien-on-dinh-pr42933877",""
"144 m²","Nam","Nam","16 m","8 tỷ","","","","Không nội thất","Hợp đồng mua bán","4 phòng","4 phòng","3 tầng","","","Bán nhà phố Izumi City Nam Long Homie9 phân phối giỏ hàng độc quyền chủ đầu tư chiết khấu 17%","https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-long-hung-6-prj-izumi-city/ban-nam-homie9-phan-i-gio-hang-doc-quyen-chu-dau-tu-chiet-khau-17-pr42927210","16 m"
"60 m²","","","4 m","Thỏa thuận","","","","","","5 phòng","6 phòng","5 tầng","","","Cần bán gấp nhà đường Hưng Phú, Phường 9, Quận 8, DT 60m2 sổ riêng","https://batdongsan.com.vn/ban-nha-rieng-duong-hung-phu-phuong-9-8/can-ban-gap-ong-9-quan-8-dt-60m2-so-rieng-pr42188340","6 m"
"2.840,7 m²","","","40 m","24,5 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Bán đất mặt tiền 40m, Hòa Thành, Tây Ninh, 24,5 tỷ, 2840,7 m2, giá TT 49 tỷ, bán gấp chỉ 24.5 tỷ","https://batdongsan.com.vn/ban-dat-xa-hiep-tan-1/ban-mat-tien-40m-hoa-thanh-tay-ninh-24-5-ty-2840-7-m2-gia-tt-49-ty-ban-gap-chi-24-5-ty-pr42826288",""
"283 m²","Nam","Nam","5 m","6,2 tỷ","","","","","Đang chờ sổ","","","4 tầng","","","Shophouse 4 tầng trung tâm Huế khai thác ngay dòng tiền 25tr/tháng","https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-to-huu-phuong-xuan-phu-5-prj-the-manor-crown-hue/-4-tang-trung-tam-khai-thac-ngay-dong-tien-25tr-thang-pr42704471","12 m"
"75 m²","","","","4,5 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Tôi bán 5CH Studio 1.8 tỷ, 2PN 3.4 tỷ, 2PN góc 3.85 tỷ, 3PN góc 4.4 tỷ kđt Vinhomes Smart City","https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-vinhomes-smart-city/ban-5-ch-studio-1pn-2pn-55m2-2pn-64m2-3pn-80m-gia-re-nhat-thi-truong-kdt-vh-smartcity-pr42711008",""
"74 m²","Đông - Nam","Đông - Bắc","","4 tỷ","","","","Full nội thất.","Sẵn sổ","2 phòng","2 phòng","","","","Chính chủ bán căn hộ 74m2 tại Samsora, 2pn 2w, ban công ĐN, full nội thất cao cấp, giá bán 4 tỷ","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-chu-van-an-phuong-quang-trung-17-prj-samsora-premier/chinh-ban-74m2-tai-3pn-2w-ban-cong-dn-full-noi-that-cao-cap-gia-ban-3-4-ty-pr40570194",""
"45,6 m²","Đông - Bắc","Tây - Nam","","3,9 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","1 phòng","1 phòng","","","","Bán căn 1PN DT 45,6m32 chỉ 3,9 tỷ bàn giao full nội thất cao cấp tại dự án Kepler Tower Mỗ Lao","https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-mo-lao-prj-thap-doi-kepler-land/ban-1pn-dt-45-6m32-chi-3-9-ty-ban-giao-full-noi-that-cao-cap-tai-du-an-tower-lao-pr42933240",""
"511 m²","","Tây - Nam","16 m","990 triệu","","","","","Sổ đỏ/ Sổ hồng.","","","","","","Bán nhanh lô đất 511m2 ngang 16m giá rẻ nhất thị xã Hoài Nhơn, 990tr","https://batdongsan.com.vn/ban-dat-duong-1-xa-hoai-thanh-tay/ban-nhanh-lo-511m2-ngang-16m-gia-re-nhat-thi-nhon-990tr-pr42792162",""
"250 m²","","","","2 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Ngộp bán nhanh lô đất 250m2 ở 1/ QL22 - xã Tân Thông Hội Củ Chi - Giá: 2 tỹ chẵn - gọi 0335 801 ***","https://batdongsan.com.vn/ban-dat-duong-quoc-lo-22-xa-tan-thong-hoi-1/ngop-ban-nhanh-252m2-o-1-ql22-cu-chi-gia-2-ty-chan-goi-pr42687033",""
"3.000 m²","","","","87,67 nghìn/m²","","","","","","","","","","","Nhà xưởng cho thuê diện tích 3000m2 tại KCN Tân Phú Trung, huyện Củ Chi, TP. HCM","https://batdongsan.com.vn/cho-thue-kho-nha-xuong-dat-xa-tan-phu-trung/-cho-dien-tich-3000m2-tai-kcn-huyen-cu-chi-tp-hcm-pr28605859",""
"99 m²","","Đông - Bắc","4,2 m","7,99 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","3 tầng","","","[bán nhanh] Bán Nhà riêng 440b Phủ Thượng Đoạn, Hải An full đồ chỉ với 7,9ty","https://batdongsan.com.vn/ban-nha-rieng-duong-phu-thuong-doan-phuong-dong-hai-3/ban-440b-1-an-phong-gia-uu-dai-chi-voi-8-2-ty-99m2-pr42719051?source=ad&adid=2972238","20 m"
"12 m²","","","","1,7 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","3 tầng","","","Hiếm - chỉ 1,7 tỷ nhà sổ hồng riêng - 3 x 4m - hẻm 1 sẹc Tôn Đản","https://batdongsan.com.vn/ban-nha-rieng-duong-ton-dan-phuong-15/hiem-chi-1-7-ty-so-hong-3-x-4-hem-1-sec-dan-pr42900216",""
"35 m²","","","","7,99 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","3 phòng","4 tầng","","","Bán nhà Hồ Đầm Tròn 135 Đội Cấn, sát Lăng Bác, công viên Bách Thảo nhà mới tinh xem là chốt ngay!","https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-ha-phuong-ngoc-ha/ban-tai-ba-dinh-noi-7-99-ty-35-m2-gia-sieu-hoi-xem-la-chot-pr42831275","3 m"
"65 m²","Tây - Nam","Đông - Bắc","","Thỏa thuận","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","Cần bán gấp căn hộ 2 ngủ 65m, Gelexia 885 Tam Trinh, nhỉnh 4 tỷ, liên hệ: 0368 945 ***","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tam-trinh-phuong-yen-so-prj-gelexia-riverside/-ban-gap-2-ngu-65m-885-nhinh-4-ty-lien-he-pr42904987",""
"220 m²","","","10 m","2,1 tỷ","","","","","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","1 tầng","","","Bán nhà Tân Hiệp, 10x22=220m2, nhà vườn, 2PN, WC, vườn rộng, sổ riêng, giá 2.1 tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-tan-hiep-xa-tan-hiep/ban-10x24-240m2-vuon-2pn-wc-vuon-rong-so-gia-2-6-ty-pr42813395","12 m"
"74,3 m²","Đông - Bắc","Đông - Bắc","5 m","16 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","4 phòng","4 tầng","","","Bán liền kề KĐT Xa La 75m2 MT 5m xây 4 tầng nhà đẹp về ở luôn LH 0914 997 ***","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-pho-phung-hung-1-phuong-phuc-la-prj-khu-do-thi-moi-xa-la/ban-kdt-75m2-mt-5m-y-4-tang-dep-ve-o-luon-lh-pr42622769",""
"226 m²","","","11 m","Thỏa thuận","","","","","Sổ đỏ/ Sổ hồng","","","","","","226m2 đất phân lô Xa La, Hà Đông - Mt 11m - 3 ô tô tránh - Kinh doanh đỉnh, ô tô đỗ free dọc đường.","https://batdongsan.com.vn/ban-dat-phuong-phuc-la/-phan-lo-biet-thu-kdt-kieu-mau-xa-phu-hop-xay-toa-van-phong-khach-san-nha-vuon-gia-tot-pr41730921","10 m"
"100 m²","","","5 m","3,4 tỷ","","","","","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","","","","Nhà cấp 4, Lưu Hữu Phước - Long Tâm, cách bệnh viện Bà Rịa 600m. 5x20m full TC","https://batdongsan.com.vn/ban-nha-rieng-duong-luu-huu-phuoc-phuong-long-tam/-cap-4-cach-benh-vien-ba-ria-600m-5x20m-full-tc-pr42833272","8 m"
"280 m²","Đông","Đông","195 m","15,5 tỷ","","","","Không nội thất","Sổ đỏ/ Sổ hồng","4 phòng","5 phòng","3 tầng","","","BIỆT THỰ AN CỰU CITY MẶT TIỀN ĐƯỜNG SỐ 1 GIÁ TỐT NHẤT 15tyxxx Cần bán căn biệt thự kh","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-so-1-phuong-an-dong-prj-an-cuu-city/-mat-tien-1-gia-tot-nhat-15tyxxx-c-b-c-kh-pr41952753","195 m"
"59 m²","","","","2,4 tỷ","","","","","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","","","","Giỏ hàng tổng hợp căn hộ Vinhomes Grand Park tốt nhất tháng 5/2025","https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/gio-hang-tong-p-vinmes-tot-nhat-thang-10-2024-pr41299064",""
"82 m²","","","","7 tỷ","","","","Đầy đủ","Sổ đỏ.","3 phòng","2 phòng","","","","Tôi chính chủ bán căn hộ 3PN - 82m2 tại chung cư Hà Nội Center Point giá 7 tỷ có thương lượng","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-luong-phuong-nhan-chinh-prj-ha-noi-center-point/toi-chu-ban-2pn-2vs-tai-gia-2-6-ty-co-thuong-luong-pr31155335",""
"45 m²","","","","9,5 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","4 phòng","3 phòng","4 tầng","","","Bán nhà Vũ Hữu, Thanh Xuân, ngõ ba gác tránh, 50m ô tô, 2 mặt thoáng, SD 45m2, 9.5tỷ","https://batdongsan.com.vn/ban-nha-rieng-pho-vu-huu-phuong-thanh-xuan-bac/ban-ngo-ba-gac-tranh-50m-o-to-2-mat-thoang-sd-45m2-9-5ty-pr42657225",""
"74 m²","","","3,5 m","32 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","14 phòng","8 phòng","7 tầng","","","Bán Nhà Giáp Nhất - 2 Mặt Tiền - 7 Tầng - Thang Máy - KD - 32 Tỷ","https://batdongsan.com.vn/ban-nha-rieng-duong-giap-nhat-phuong-nhan-chinh/ban-t-2-mat-tien-7-tang-thang-may-kd-32-ty-pr42438146","10 m"
"43 m²","","","","10 triệu/tháng","","","","","","3 phòng","","4 tầng","","","Nhà ngõ 161 Chính Kinh 43m2 x4T giá 10tr/th","https://batdongsan.com.vn/cho-thue-nha-rieng-pho-chinh-kinh-phuong-nhan-chinh/-ngo-161-43m-x4t-gia-10tr-th-pr42031081",""
"65 m²","","","4 m","13,5 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","5 phòng","7 phòng","7 tầng","","","Mặt ngõ thông thẳng tắp - Phố Vip quận Thanh Xuân - Nhà mới tinh 2 thoáng - 65m2 x 7 tầng thang máy","https://batdongsan.com.vn/ban-nha-rieng-pho-phuong-liet-phuong-phuong-liet/mat-ngo-thong-thang-tap-vip-quan-thanh-xuan-moi-tinh-2-thoang-65m2-x-7-tang-thang-may-pr42879490","2 m"
"77 m²","","","","3,95 tỷ","","","","Đầy đủ Nội thất full, bao gồm sofa, tủ lạnh, máy giặt.","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","Bán gấp CH 2PN, 3,95 tỷ, 77m2 tại Eurowindow River Park, Đông Anh, Hà Nội","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-5-xa-dong-hoi-prj-eurowindow-river-park/ban-gap-ch-2pn-3-65-ty-68m2-tai-anh-ha-noi-pr41961066",""
"65 m²","","","","3,56 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","2 phòng","1 phòng","","","","BÁN CĂN HỘ CT2 ICID COMPLEX GIÁ TỐT, VIEW ĐẸP 65m2- 3 ty560","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-trong-tan-phuong-duong-noi-prj-icid-complex/ban-ct2-gia-tot-view-dep-65m2-3-ty560-pr42806671",""
"75 m²","","","","3,38 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Chính chủ bán căn tập thể - Thịnh Hào 1 - khu dân trí cao - 75m2 - giá 3.38 tỷ","https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ton-duc-thang-phuong-hang-bot-1/chinh-chu-ban-tap-the-thinh-hao-1-75m-gia-3-38-ty-pr42917167",""
"80 m²","Đông - Nam","Tây - Bắc","5,5 m","18,5 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","4 phòng","5 phòng","3 tầng","","","Bán nhà, Nguyễn Lương Bằng, Hồ Đắc Di, Quang Trung, Đống Đa, DT80m MT 5,5m đầu tư, bán đất tặng nhà","https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-luong-bang-1-phuong-quang-trung/ban-ho-dac-di-80m-mt-5-5m-dau-tu-ngon-ban-dat-tang-pr42879632?source=ad&adid=2990361","6 m"
"84 m²","","","","Thỏa thuận","","","","Full nội thất.","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Em bán căn 3PN đóng tiến độ dãn phân khu Victoria _ Vinhome Smart City. Hai hầm xe + Kế cận metro 6","https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-tay-mo-prj-the-victoria-vinhomes-smart-city/em-ban-3-phong-ngu-tang-2x-full-noi-that-phan-khu-vin-dong-tien-do-dan-pr42828777?source=ad&adid=2999577",""
"2.400 m²","","","","Thỏa thuận","","","","","","","3 phòng","3 tầng","","Bảo vệ, PCCC","Cho thuê văn phòng trọn gói, giá cả chỗ ngồi linh hoạt tại tòa Kim Khí Thăng Long, số 1 Lương Yên","https://batdongsan.com.vn/cho-thue-van-phong-duong-luong-yen-phuong-bach-dang-prj-tmc-tower/cho-tron-goi-gia-ca-cho-ngoi-linh-hoat-tai-toa-kim-khi-thang-long-so-1-yen-pr42190790",""
"44,54 m²","Đông - Bắc","Tây - Nam","","2,9 tỷ","","","","","Hợp đồng mua bán","1 phòng","1 phòng","","","","Căn hộ The Maris Vũng Tàu: Cơ hội sở hữu bất động sản cao cấp với chiết khấu đặc biệt 6%","https://batdongsan.com.vn/ban-condotel-duong-3-2-2-phuong-10-11-prj-the-maris-vung-tau/can-ho-co-hoi-so-huu-bat-dong-san-cao-cap-voi-chiet-khau-dac-biet-6-pr42624240",""
"160 m²","Đông","Đông","8 m","2,5 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","1 phòng","1 tầng","","","Bán nhà mặt tiền 8m*20m đường rộng thuộc P3, TP. Đông Hà","https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-huu-thuan-phuong-3-9/ban-tien-8m-160m-rong-thuoc-p3-tp-dong-ha-pr42853693","13 m"
"101,1 m²","","","","Thỏa thuận","","","","","","","","","","","Cần bán nhanh lô đất chính chủ, gần chợ dự án sông hồng. LH ngay 0943 703 ***","https://batdongsan.com.vn/ban-dat-xa-yen-hoa/can-ban-nhanh-lo-chinh-chu-gan-cho-du-an-song-hong-lh-ngay-pr42912295",""
"3.000 m²","","","","Thỏa thuận","","","","","","","","","","","Cho thuê kho dịch vụ có người quản lý tại Hưng Yên DT từ 10 - 500m2 - 1000m2 - 5000m2","https://batdongsan.com.vn/cho-thue-kho-nha-xuong-dat-thi-tran-yen-my/cho-dich-vu-co-nguoi-quan-ly-tai-hung-dt-tu-10-500m2-1000m2-5000m2-pr42748667",""
"490 m²","","","14 m","14 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Kẹt tiền bán 2 lô biệt thự 490m2 mặt tiền Hùng Vương & Nguyễn Văn Huyên, giá rẻ","https://batdongsan.com.vn/ban-dat-duong-hung-vuong-2-phuong-9_3/ket-tien-ban-2-lo-biet-thu-490m2-mat-tien-nguyen-van-huyen-gia-re-pr42700538","42 m"
"87 m²","","","","5,9 tỷ","","","","","","3 phòng","2 phòng","","","","Bán căn hộ The Flemington - Quận 11 - 87m2 ( 3PN - 2WC ). Giá 5.9 tỷ. Có sổ, LH: 0943 245 *** Hoàng","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-dai-hanh-phuong-15-4-prj-the-flemington/ban-quan-11-87m2-3pn-2wc-gia-5-9-ty-co-so-lh-ang-pr42917714",""
"32 m²","","Đông - Nam","","19 triệu/tháng","","","","","","4 phòng","3 phòng","3 tầng","","","Cho thuê nhà 2MT đường 3/2 P. 12 Quận 11 giá 19 triệu/th 32m2","https://batdongsan.com.vn/cho-thue-nha-mat-pho-duong-3-2-2-phuong-12-6/cho-2mt-3-2-p-12-quan-11-gia-19-trieu-32m2-pr42598395",""
"130 m²","Đông - Nam","","","9 tỷ","","","","Đầy đủ.","Hợp đồng mua bán","4 phòng","3 phòng","","","","Chủ nhà nhờ gửi bán căn chung cư 3 ngủ, 3VS + 1 kho - tòa Sunshine Center, 130m2. LH: 0818 340 ***","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-pham-hung-phuong-my-dinh-2-prj-sunshine-center/chu-nha-nho-gui-ban-2-ngu-2vs-1-kho-toa-108m-lh-pr39479849",""
"90 m²","Đông - Nam","Tây - Bắc","","5,7 tỷ","","","","Đầy đủ","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Star Tower 283 Khương Trung bán căn 3 PN 2wc- 90m2- đầy đủ đồ- có slot ô tô-ban công Đông Nam","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-khuong-trung-phuong-khuong-trung-prj-star-tower-283-khuong-trung/-283-ban-3-phong-ngu-2wc-90m2-day-du-do-co-slot-o-to-ban-cong-dongnam-pr42378071",""
"130 m²","Đông","Nam","","Thỏa thuận","","","","Đầy đủ Nội thất đầy đủ với điều hòa, giường, tủ lạnh.","Sổ đỏ/ Sổ hồng","3 phòng","2 phòng","","","","Chính chủ Bán chung cư cao Đà Nẵng Plaza, rộng 130m2, nhìn trực diện sông Hàn","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-phu-phuong-thach-thang-prj-da-nang-plaza/chinh-chu-ban-cao-rong-130m2-nhin-truc-dien-song-han-pr41979103",""
"90 m²","","","6 m","15 triệu/tháng","","","","","","","","","","","Cho thuê mặt bằng đường Hoàng Diệu, Phước Ninh, Hải Châu - Diện tích: 90 m2 (ngang 6 m)","https://batdongsan.com.vn/cho-thue-nha-mat-pho-duong-hoang-dieu-phuong-phuoc-ninh/cho-bang-hai-chau-dien-tich-90-m-ngang-6-m-pr42457592","7,5 m"
"117 m²","","","6 m","7,7 tỷ","","","","Đầy đủ.","Sổ đỏ/ Sổ hồng","10 phòng","10 phòng","5 tầng","","","Chỉ 7,9 TỶ: CHDV gần biển SƠN TRÀ - ĐÀ NẴNG, có dòng tiền 45 tr/th: 6x19,5m 5 tầng 7 căn 3phòng trọ","https://batdongsan.com.vn/ban-nha-rieng-duong-vo-nguyen-giap-phuong-man-thai/hang-hot-chdv-gan-bien-dong-tien-45-tr-th-117m2-5-tang-7-can-studio-3-phongtro-pr41908827",""
"98,4 m²","","","5,25 m","6,9 tỷ","","","","","Sổ đỏ/ Sổ hồng","3 phòng","1 phòng","1 tầng","","","Gấp bán! Bán nhà HXH thông, kinh doanh, ngay mặt tiền đường 385 - Lê Văn Việt. Ngang khủng","https://batdongsan.com.vn/ban-nha-rieng-duong-385-phuong-tang-nhon-phu-a/gap-ban-ban-hxh-thong-kinh-doanh-ngay-mat-tien-385-le-van-viet-ngang-khung-pr42686081",""
"691,1 m²","Đông - Nam","Tây - Bắc","5,8 m","39 tỷ","","","","Cơ bản.","Sổ đỏ/ Sổ hồng.","45 phòng","45 phòng","","","","Bán CHDV 2 mặt tiền Đ102, P. Tăng Nhơn Phú A. 1 trệt 1 lầu. Có 45 P, cho thuê khoán 110 triệu/tháng","https://batdongsan.com.vn/ban-nha-mat-pho-duong-102-phuong-tang-nhon-phu-a/bn-chdv-2-tien-d102-p-1-tret-1-lu-co-45-p-cho-thue-khon-110-trieu-thng-pr42399874",""
"750 m²","","Tây - Bắc","15 m","10,5 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Lô 15m xây biệt thự vip ngay dự án chung cư gần Aeon Mall thành phố mới Bình Dương DX 69 Định Hoà","https://batdongsan.com.vn/ban-dat-duong-dx-069-phuong-dinh-hoa/dx69-sat-du-chung-cu-dang-xay-di-aeon-mall-chi-3p-lai-xe-15x50x150tc-10x40x150tc-pr42492783",""
"548 m²","","","","650 triệu","","","","","Sổ đỏ/ Sổ hồng","","","","","","Chính chủ bán vườn mít thái 650tr","https://batdongsan.com.vn/ban-dat-xa-an-linh/chinh-chu-ban-vuon-mit-thai-650tr-pr42925899?source=ad&adid=2999688","8 m"
"71 m²","","Đông - Nam","8 m","7,89 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Đất mặt tiền công viên. Đảm bảo đẹp nhất khu vực. Tiện ở hoặc kinh doanh","https://batdongsan.com.vn/ban-dat-duong-to-hieu-phuong-hiep-tan/-mat-tien-cong-vien-dam-bao-dep-nhat-khu-vuc-tien-o-hoac-kinh-doanh-pr42933504","8 m"
"60 m²","","","","5,5 tỷ","","","","","","","","","","","Hẻm 5m Luỹ Bán Bích( ngay Ủy ban quận). DT 3,5x17m. Giá 5.8 tỷ","https://batdongsan.com.vn/ban-dat-duong-luy-ban-bich-phuong-phu-thanh/hem-5m-ngay-uy-quan-dt-3-5x17m-gia-5-8-ty-pr42890253","5 m"
"400 m²","","","","7,5 tỷ","","","","","","2 phòng","","1 tầng","","","Bán cắt lỗ căn biệt thự 2 ngủ giá 7,5 tỷ căn 3 ngủ giá 8,9 tỷ","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-ganh-dau-prj-vinpearl-phu-quoc/hot-ban-can-btb-giam-5-ty-gia-chuyen-nhuong-chi-12-ty-ln-net-1-9-ty-nam-4pn-view-bien-pr30692121",""
"100 m²","","","6 m","820 triệu","","","","","Sổ đỏ/ Sổ hồng","","","","","","Chủ gửi bán lô đất gần MT đường Nguyễn Văn Tạo, Nhà Bè, gần UBND xã Hiệp Phước, 820tr, 100m2, SHR","https://batdongsan.com.vn/ban-dat-duong-nguyen-van-tao-xa-hiep-phuoc/chu-gui-ban-lo-gan-mt-nha-be-gan-ubnd-750tr-100m2-shr-pr42890828","8 m"
"74 m²","","","","65 triệu/m²","","","","Cơ bản","Hợp đồng mua bán","2 phòng","2 phòng","","","","Khả Ngân - Anh Chị xem 5 videos sau sẽ nắm toàn bộ thông tin Essensia Sky ạ: 0933 973 ***","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-tho-xa-phuoc-kieng-prj-essensia-sky/anh-chi-xem-5-videos-cua-kha-ngan-se-nam-toan-bo-thong-tin-a-pr42639516",""
"30 m²","","","3 m","5,95 tỷ","","","","Cơ bản","Sổ đỏ/ Sổ hồng","3 phòng","3 phòng","3 tầng","","","BÁN NHÀ MỚI PHAN ĐĂNG LƯU P4 PHÚ NHUẬN CHỈ 5.95 TỶ","https://batdongsan.com.vn/ban-nha-rieng-pho-phan-dang-luu-phuong-4-19/ban-moi-p4-phu-nhuan-chi-5-95-ty-pr42876943","3 m"
"77 m²","","","","6 tỷ","","","","","Sổ đỏ/ Sổ hồng","2 phòng","2 phòng","","","","Cần bán gấp căn hộ Scenic Valley 1 DT 77m căn góc kèm ô đậu xe hơi giá 6 tỷ LH 0916 769 *** E Trang","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ton-dat-tien-phuong-tan-phu-19-prj-scenic-valley-1/-ban-gap-vallly-1-dt-77m-goc-kem-o-dau-xe-i-gia-6-ty-lh-e-trang-pr42751733",""
"117 m²","Tây - Bắc","Đông - Bắc","","6,2 tỷ","","","","Cơ bản","Hợp đồng mua bán","3 phòng","2 phòng","","","","Bán The Gold View OT căn góc view sông 117m2 3pn 2wc tặng nt . 6.2 tỷ giá thật . Lh: 0983 568 *** Tín","https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ben-van-don-phuong-1-prj-the-gold-view/ban-tang-cao-song-92m2-2pn-2wc-tang-nt-5-5-ty-gia-that-lh-tin-pr42297793",""
"82 m²","","","","24 tỷ","","","","","Sổ đỏ/ Sổ hồng","","","","","","Giá tốt chỉ 24 tỷ cho đất tại đường Núi Trúc, 82m2, pháp lý đầy đủ","https://batdongsan.com.vn/ban-dat-duong-nui-truc-phuong-ngoc-khanh/gia-tot-chi-24-ty-cho-tai-82m2-phap-ly-day-du-pr41465920","8 m"
"437 m²","","","15 m","30 tỷ","","","","","Sổ hồng","4 phòng","5 phòng","3 tầng","","","Giảm 15 tỷ siêu biệt thự 2 mặt tiền view sông Khu Jamona Home Resort 18x25 =440m2 Giá 30 Tỷ","https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-jamona-home-resort/giam-15-ty-sieu-2-mat-tien-view-song-khu-18x25-440m2-gia-30-ty-pr42594239","16 m"
"90 m²","","","","6,2 tỷ","","","","","","3 phòng","2 phòng","","","","Cần bán căn hộ chung cư Xi Grand Court 90m2, 3PN, Q.10, giá: 6.2 tỷ, LH: 0903 077 *** Được","https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ly-thuong-kiet-phuong-14-5-prj-xi-grand-court/-ban-70m2-2pn-q-10-gia-4-8-ty-lh-duoc-pr39475356",""
